text,category
"
hey there, what physical symptoms of anxiety do you experience? 
I often feel very alone in my experience of having physical chest (what I think are heart) spasms and was wanting to create a space for everyone to list their physical feelings that come hand in hand with anxiety so we can all feel less alone. 
hope everyone is well. 
",Anxiety
"
There is a thread under Depression just like this so I thought why not start an anxiety one?
My word is:
Attacking
",Anxiety
"
Hi everyone,
I would love to hear your stories on how you overcome your anxiety or improved life with anxiety...
I know majority of us don't refer to these online forums when feeling great but if there are some, like myself that stay on here to help support others, please share. 😊
",Anxiety
"
Hi Everyone,
Here are some ideas for helping you manage symptoms of anxiety. Feel free to add to the list, or let us know what works for you...
Mindfulness – Grounding exercises: noticing your environment, bodily sensations, and breath

Progressive Muscle Relaxation – Creating a Tension and Release effect with all the muscles in the body

Opposite Actions – By listening to calming music, taking a walk, talking, enjoying sunshine

Safe Place Mental Imagery – Visualising a place where you can go in your mind to feel safe

Calming Affirmations – To help recognise that the moment of panic will pass

Exercise – A valuable way to  exhaust excess adrenalin built up in the body
 
[Moderator's note: this thread is for sharing what has worked for you to manage your anxiety. If you need support to manage your anxiety and would like to discuss this with the community, please start a new thread.
See also:
Anxiety management strategies
Worry worry worry
]
",Anxiety
"
Hi everyone, particularly any new members who may be reading. 
From time to time, we get contacted by members who are unhappy that they haven’t received a lot of replies to their posts. Our community champions work very hard to make sure that all newbies are welcomed when they first post, and we understand that it’s a big step to post for the first time on a forum like this, especially if you aren’t feeling great.
It’s important to remember, though, that these forums are a community of real people, just like you, not a one-on-one support environment like going to see your psychologist.  
To get the best out of being here, one of the best tips we can offer is give support to receive support.
Being a good community member means:

 participating in different threads (not just your own), 
replying to people who have taken the time to reply to you (even if it’s just to say thank you), and...
posting words of emotional support and encouragement when you see others who are hurting and reaching out.

You don’t have to feel obliged to solve the problems of others: that’s not what we’re here for. But you can offer empathy and what you’ve learned from your own life experiences, even if it’s just a line or two, eg. “I don't know what to say, but I want to give you my support and tell you I care about what is happening to you and hope life will get better soon.”
Try to develop an interest in the journeys of others here on the forums. You may be surprised at how good being an active, caring member here can make you feel.
For those of you who have had good experiences giving support here on the forums, please post in this thread here and let us know how it has helped you on your journey.




",Anxiety
"
Hi there,
As if that wasn't bad enough I also have mild cases of intellectual disability and Asperger’s syndrome that make those things even tougher and harder to come out.
Until June this year I was dealing with The Corona Virus pretty well even with some adjustments like face masks but got used to them over time which was great.
However I was getting upset worrying about a certain person who I have always put above my own well being before my own , once I found out they were safe and being looked after I had a change of view about things and see things differently now even in a slight change , as my feelings towards them have always stayed pretty much the same but now I have known to change it down to make it more realistic as I have done in another area too.
If you have a clear image in your mind and a positive outlook is it more than likely things will be alright or turn out good?
I also have these dreams where I see the person in a slightly different light even though they are still important to me for example me being a friend and being treated as a friend in her presence and the presence of her family.
For the last four years I changed a few things and eased off in certain areas that the old me would have struggled to know what to do , probably because she still thought I was interested in her more than friends and that is what worries me.
I don't feel I can progress with the fifteen years of internal stuff until I get it said out to her in person and then we can reconcile hopefully and then hopefully can be friends again as I don't deal with loss very well and the thought of death of someone close to me or something happening to me makes me get worried I may never be able to fix this up.
In March 2019 we had bush fires six kilometres from our house and it was one of the most scary things I have ever witnessed , and now with The Corona Virus it reminds me of what is important to me even though I may have not explained certain things clearly to a certain person in the past.
Giving up is not an option but I am scared and worried about doing the wrong thing , I don't know what to do still hence that is why I have sat on the fence for the last four years.
",Anxiety
"
Hi guys, I have been thinking about writing about this for a while and I am still very nervous to write it, but I figure I should at least give it a try. Maybe someone has experienced something similar.

A few weeks ago I had to do a very difficult thing. I had been feeling for a while that I was being treated without respect by a group of people whom I considered my friends. I really cared about them, and I still do, so it was incredibly hard to realise that I just felt so... uncomfortable. I am afraid of talking about this because I am scared of being harassed online by them if I am found, so I am going to be vague, I hope that's okay and not too confusing.

I have had moments of severe depression and occasional anxiety attacks throughout my life, where I cannot cope and needed to speak to my friends for support. I always did my best to offer an ear in return to support them as well, because I have many other friends that have been through some intensely difficult times and really needed an ear, or a shoulder and were occasionally a bit blunt or negative because they were sad. I can completely relate to that position and I have always tried my best to put myself in other people's shoes. 

For at least a year though, I felt that something was terribly wrong. Like a gut feeling. I now see in hindsight that there were red flags everywhere, I was spoken to repeatedly in a passive-aggressive manner, blamed for things that were beyond my control and for not doing enough, insulted in front of friends (and my own family!) at a major event and when I asked numerous times what was happening, telling them that our friendship mattered to me and that I was lost... I was accused of being aggressive or confrontational. I felt like I was going crazy and I still feel like I am. I could not support them when I was feeling attacked like this, which they then continued to blame me for.

I am so confused and hurt even now. Did I deserve that because I had moments of weakness and needed help? I was constantly apologising, and if they had told me that I was annoying then I would have listened and taken it seriously because they really mattered to me. It's really awful that as soon as I stood up and left I began to receive harassing texts accusing me of being passive-aggressive and a liar. I just felt so crazy hearing that. I stopped to think... did all the times I was trying to be genuine not matter? Was I not doing my best? Had I been making it up?

Thank you for reading.
",Anxiety
"
Hi, first time posting on here (or anywhere for that matter about this stuff)... I have OCD and Bipolar Disorder.
As i sit typing I am aware of every noise in the house and outside being ""They/Them"" coming to get me. My OCD has been leading me down dark rabbit holes of thoughts and images recently (in a self-destructive spiral) and I couldnt take it any more.
I chatted with one of the BeyondBlue people who helped me to seek out a positive distraction for the night so I joined this community and started to type.
For me OCD is like a little urge going ""just one more dark thought, just until midnight, then i will let you go...."" but it never stops! It is never satisfied until I feel like giving up and taking one way out or another (neither are good options by the way!).
I am a good person with a good heart and I know i would never do these things yet that spiral is so strong, so desperate and so persistent that I fear I may not be strong enough to fight it. Seeing others going through this same process makes me feel like im not alone, yet i fear that ""They/Them"" would have me locked away because of the ""Darkness"" within me.
When I was younger (18-19 yrs old) I first experienced this dark spiral and it terrified me so much that I contemplated suicide so that I could never hurt anyone like that! Thankfully I am alive but the OCD ""Darkness"" remains and it is a constant battle. How do you fight what you cannot see/touch/destroy?
Im sorry for this stream of consciousness post but im really trying to convey my feelings as best as i can. Thank you for taking the time to read this and thank you for (hopefully) accepting me as I am.
(ps: I am seeing a psych and I am medicated and for those two things i am forever grateful).
",Anxiety
"
I posted in a couple of other threads but I decided to start a new one so I can get my thoughts together.
I started my career as an engineer.  I did that for 7 years, then became a project manager of engineering projects.  I have been doing that for 9 years.  I have been in my current job for 1 year.  I started my current job after my company made my previous role redundant in a restructure, and they redeployed me into this role.  I moved from a project manager role in a sector that I had lots of experience in, to a project manager role in a sector I have no experience in.
I think I have felt anxiety to some degree during my entire career, but it has been really bad since the start of 2020.  I don't have experience in the sector that I'm now working in, and I'm supposed to manage people doing work that I have no understanding of.  The company restructure that led to me changing sectors stripped the expertise needed to get work done.  Many times I have asked for a resource to do certain tasks, and the response has been 'Joe Bloggs used to do that, but he was made redundant so now it's the the project manager's job.'  I don't have the expertise to do what's required, so I feel like I'm being set up for failure.  My workload is too big for me to manage, and I'm falling further and further behind.  I've spoken to my manager about the issues I'm facing on my projects, said they will take time to resolve, and asked to renegotiate deadlines.  His response has been along the lines of 'Oh, you can still meet the deadline.  It won't take as long as you say to resolve the issue.'  My manager is disconnected from reality and has no appreciation for the effort actually required to get something done, and doesn't want to listen when I try to explain it to him.  So I have been working under immense pressure.
I have been having stomach cramps that make me run to the toilet 3-4 times a day, and I often feel like vomiting.
I have spoken to a psychologist and she said I don't have mental health issues.  She said I need to find a job that suits my personality.
",Anxiety
"
Hey...
so, I actually only find myself at these forums when I need comfort. It’s been a little while and I’ve been doing well.
I’ve recently lost close to 18kgs - by trying, not because of anything sinister. Was super happy, going great. Im quite big, so any loss is wonderful. I started noticing change sin my body - as you do. Except, I felt a bit too hard and felt a lump kind of on my left side but more just under my rib cages (in that fatty area)
Rationally I know it’s fat, and there’s some on the right side, but the left side is what I’ve focussed on again. So now, I’m that area, I feel like I can feel something wrong. I’m very gassy - as in, it gurgles and feels like bubbles, rarely any pain but when there’s pain, it’s gas.
I’m constantly focussed on it, so hyper aware that I feel things now on the same side but on my back. It tingles, it bubbles, it feels tight and also feels heavy. So when I lay on my tummy, it feels as if there’s something there.
 
UNTIL I DONT THINK OF IT.
If I’m distracted or with friends, 9/10 I feel not a thing. Can go for hours with nothing. I wake up with nothing until my brain tries to see if it’s still there.
i straight away go to cancer. Every time.
i have pushed so hard on that side to try and feel anything, done it to the other side too, and it all feels exactly the same. 
if I left my shirt, I feel nothing. Miraculously.
its like I’m so hyper aware that I’m feeling every tiny thing.
i went away recently, and it felt like it started to go. I came back and I was doing okay and then on Sunday (a week ago) my work bestie/mate passed away, and let me tell you. My anxiety is through the roof.
im so scared to see a doctor. The first thing they say is about my weight but then also I’m scared of the testing.
it feels like gas. The fat lumps I feel have been there the whole time but now I feel them more because of the weight loss. That’s when it all started. 

blurgh. I’m so over this. 
",Anxiety
